kind,name,detail,position,data_type,is_nullable,column_default
column,estimate_sections,created_at,9,timestamp with time zone,NO,now()
column,estimates,id,1,uuid,NO,gen_random_uuid()
column,estimates,tenant_id,2,uuid,NO,null
column,estimates,job_id,3,uuid,YES,null
column,estimates,customer_id,4,uuid,YES,null
column,estimates,number,5,text,NO,null
column,estimates,name,6,text,NO,null
column,estimates,status,7,estimate_status,NO,'draft'::estimate_status
column,estimates,version,8,integer,NO,1
column,estimates,parent_id,9,uuid,YES,null
column,estimates,subtotal_cents,10,bigint,NO,0
column,estimates,overhead_pct,11,numeric,NO,0
column,estimates,overhead_cents,12,bigint,NO,0
column,estimates,profit_pct,13,numeric,NO,0
column,estimates,profit_cents,14,bigint,NO,0
column,estimates,tax_pct,15,numeric,NO,0
column,estimates,tax_cents,16,bigint,NO,0
column,estimates,total_cents,17,bigint,NO,0
column,estimates,margin_pct,18,numeric,YES,null
column,estimates,valid_until,19,date,YES,null
column,estimates,sent_at,20,timestamp with time zone,YES,null
column,estimates,viewed_at,21,timestamp with time zone,YES,null
column,estimates,approved_at,22,timestamp with time zone,YES,null
column,estimates,rejected_at,23,timestamp with time zone,YES,null
column,estimates,signature_document_id,24,uuid,YES,null
column,estimates,notes,25,text,YES,null
column,estimates,internal_notes,26,text,YES,null
column,estimates,created_by,27,uuid,YES,null
column,estimates,created_at,28,timestamp with time zone,NO,now()
column,estimates,updated_at,29,timestamp with time zone,NO,now()
column,expense_items,id,1,uuid,NO,gen_random_uuid()
column,expense_items,tenant_id,2,uuid,NO,null
column,expense_items,expense_id,3,uuid,NO,null
column,expense_items,description,4,text,NO,''::text
column,expense_items,amount_cents,5,integer,NO,0
column,expense_items,account_id,6,uuid,YES,null
column,expense_items,job_id,7,uuid,YES,null
column,expense_items,sort_order,8,integer,NO,0
column,expenses,id,1,uuid,NO,gen_random_uuid()
column,expenses,tenant_id,2,uuid,NO,null
column,expenses,expense_number,3,text,NO,null
column,expenses,vendor_id,4,uuid,YES,null
column,expenses,job_id,5,uuid,YES,null
column,expenses,expense_date,6,date,NO,null
column,expenses,total_cents,7,integer,NO,0
column,expenses,payment_method,8,text,NO,null
column,expenses,reference_number,9,text,NO,''::text
column,expenses,status,10,text,NO,'Draft'::text
column,expenses,receipt_url,11,text,NO,''::text
column,expenses,notes,12,text,NO,''::text
column,expenses,journal_entry_id,13,uuid,YES,null
column,expenses,created_at,14,timestamp with time zone,NO,now()
column,expenses,updated_at,15,timestamp with time zone,NO,now()
column,gps_checkins,id,1,uuid,NO,gen_random_uuid()
column,gps_checkins,tenant_id,2,uuid,NO,null
column,gps_checkins,job_id,3,uuid,NO,null
column,gps_checkins,project_id,4,uuid,YES,null
column,gps_checkins,user_id,5,uuid,NO,null
column,gps_checkins,latitude,6,numeric,YES,null
column,gps_checkins,longitude,7,numeric,YES,null
column,gps_checkins,accuracy_meters,8,numeric,YES,null
column,gps_checkins,checked_in_at,9,timestamp with time zone,NO,now()
column,gps_checkins,checked_out_at,10,timestamp with time zone,YES,null
column,gps_checkins,device_id,11,text,YES,null
column,gps_checkins,note,12,text,YES,null
column,invoice_items,id,1,uuid,NO,gen_random_uuid()
column,invoice_items,tenant_id,2,uuid,NO,null
column,invoice_items,invoice_id,3,uuid,NO,null
column,invoice_items,description,4,text,NO,''::text
column,invoice_items,quantity,5,numeric,NO,1
column,invoice_items,unit,6,text,NO,'LS'::text
column,invoice_items,unit_price_cents,7,integer,NO,0
column,invoice_items,amount_cents,8,integer,NO,0
column,invoice_items,sort_order,9,integer,NO,0
column,invoice_items,account_id,10,uuid,YES,null
column,invoice_items,linked_expense_item_id,11,uuid,YES,null
column,invoices,id,1,uuid,NO,gen_random_uuid()
column,invoices,tenant_id,2,uuid,NO,null
column,invoices,invoice_number,3,text,NO,null
column,invoices,customer_id,4,uuid,NO,null
column,invoices,job_id,5,uuid,YES,null
column,invoices,invoice_date,6,date,NO,null
column,invoices,due_date,7,date,NO,null
column,invoices,status,8,text,NO,'Draft'::text
column,invoices,subtotal_cents,9,integer,NO,0
column,invoices,tax_rate_basis_points,10,integer,NO,0
column,invoices,tax_amount_cents,11,integer,NO,0
column,invoices,total_cents,12,integer,NO,0
column,invoices,amount_paid_cents,13,integer,NO,0
column,invoices,balance_due_cents,14,integer,NO,0
column,invoices,notes,15,text,NO,''::text
column,invoices,internal_notes,16,text,NO,''::text
column,invoices,journal_entry_id,17,uuid,YES,null
column,invoices,created_at,18,timestamp with time zone,NO,now()
column,invoices,updated_at,19,timestamp with time zone,NO,now()
column,invoices,stripe_session_id,20,text,YES,null
column,invoices,stripe_payment_url,21,text,YES,null
column,invoices,sent_at,22,timestamp with time zone,YES,null
column,invoices,paid_at,23,timestamp with time zone,YES,null
column,invoices,milestone_id,24,uuid,YES,null
column,invoices,draw_request_id,25,uuid,YES,null
column,invoices,stripe_payment_intent_id,26,text,YES,null
column,invoices,payment_instructions,27,text,YES,null
column,invoices,pdf_document_id,28,uuid,YES,null
column,job_change_orders,id,1,uuid,NO,gen_random_uuid()
column,job_change_orders,tenant_id,2,uuid,NO,null
column,job_change_orders,job_id,3,uuid,NO,null
column,job_change_orders,co_number,4,text,NO,null
column,job_change_orders,description,5,text,NO,''::text
column,job_change_orders,amount_cents,6,integer,NO,0
column,job_change_orders,date_submitted,7,date,YES,null
column,job_change_orders,date_approved,8,date,YES,null
column,job_change_orders,status,9,text,NO,'Pending'::text
column,job_change_orders,notes,10,text,NO,''::text
column,job_change_orders,created_at,11,timestamp with time zone,NO,now()
column,job_change_orders,title,12,text,YES,null
column,job_change_orders,reason,13,text,YES,null
